number,flag,text
500143,0,Weight Check says OK
500144,0,"Tile Manager approved, OK"
500145,0,"Fell off bottom of IsMoveable, No GO"
500146,0,No Duplicate Id's found.
500147,0,Compression not yet implemented.
500148,0,Format: set <target> <variable> <value>
500149,0,"vars: strength, dexterity, intelligence, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue, hue, notoriety, fame, karma, name, body, skill, location, naturalac, naturalwc, tithingpoints, race, sex"
500150,0,Format: set <target> <variable> <value>
500151,0,"vars: strength, dexterity, intelligence, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue, hue, notoriety, fame, karma, name, body, skill, location, naturalac, naturalwc, tithingpoints, race, sex"
500152,0,Target not found.
500153,0,Invalid location
500154,0,Usage: set target location [w#] x y [z]
500155,0,Format: set <target> skill <value>
500156,0,Invalid skill
500157,0,Format: set <target> skillmod <value>
500158,0,Invalid skill
500159,0,Format: query <target> <variable>
500160,0,"Vars: strength, dexterity, intelligence, strengthmod, dexteritymod, intelligencemod, hunger, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue, luck, nightsight, reflectphysicaldamage, potionstrength, attackchance, defensechance, spelldamage, castrecovery, castspeed, manacost, reagentcost, swingspeed, damagemodifier, race, sex, resist <type> [max], notoriety, fame, karma, adjfame, adjkarma, body, skill <num>, skillval, skillmod, updaterange, creationtime"
500161,0,Target not found.
500162,0,Format: add <target> <variable> <value>
500163,0,"vars: strength, dexterity, intelligence, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue"
500164,0,Target not found.
500165,0,Variable not found.
500166,0,I'm not telling you how much this has in it..
500167,0,You are now a criminal.
500168,0,You cannot say anything at this time; you have been muted.
500169,0,You cannot pick that up.
500170,0,You cannot pick that up.
500171,0,"You are too tired to lift a finger, much less anything else."
500172,0,I failed to steal.
500173,0,Someone tried to steal from you.
500174,0,You successfully steal the item!
500175,0,This item needs resources.
500176,0,"That is not your container, you can't store things here."
500177,0,Access to bank not allowed anymore.
500178,0,Access to bank not allowed anymore.
500179,0,That spell is already present in that spellbook.
500180,0,Your godly powers allow you to over-fill the container.
500181,0,Your godly powers allow you to over-fill the container.
500182,0,"You cannot request help while customizing a house, transferring a character or during the Wanderer's guided tour."
500183,0,The next available counselor or game master will respond as soon as possible.
500184,0,The next available game master will respond as soon as possible.
500185,0,The next available counselor will respond as soon as possible.
500186,0,Greetings.  Have a look around.
500187,0,"Your order cannot be fulfilled, please try again."
500188,0,"Your order cannot be fulfilled, please try again."
500189,0,"Your order cannot be fulfilled, please try again."
500190,0,Thou hast bought nothing!
500191,0,"Begging thy pardon, but thy bank account lacks these funds."
500192,0,"Begging thy pardon, but thou canst not afford that."
500193,0,"I will not buy from you, ever."
500194,0,You can only sell 5 items at a time!
500195,0,Unable to complete your request.
500196,0,You may not sell containers unless they are empty.
500197,0,Thou hast offered nothing!
500198,0,Unable to complete your request.
500199,0,Ahh!  We've been looking for that!
500200,0,I have no need for that.
500201,0,I cannot die.
500202,0,Spell failed
500203,0,Not enough mana
500204,0,You cannot say anything at this time; you have been muted.
500205,0,You can't get on a mount that's fighting.
500206,0,That is too far away to ride.
500207,0,The spellbook must be in your backpack (and not in a container within) to open.
500208,0,It appears to be blank.
500209,0,You cannot peek into the container.
500210,0,You failed to peek into the container.
500211,0,You are too tired to lift a finger.
500212,0,You failed to peek into the container.
500213,0,You are not strong enough to equip that.
500214,0,You already have something in both hands.
500215,0,You can only wield one weapon at a time.
500216,0,You must have both hands free to wield this weapon.
500217,0,Your right hand must be free to wield this weapon.
500218,0,Your left hand must be free to wield this weapon.
500219,0,You are already wielding a two handed weapon.
500220,0,OW!  THAT SMARTS!
500221,0,Ha ha!  Missed me!
500222,0,What should I cook this on?
500223,0,What should I cook this on?
500224,0,What should I cook this on?
500225,0,What should I cook this on?
500226,0,What should I cook this on?
500227,0,pile of boards
500228,0,pile of boards
500229,0,woodpile
500230,0,woodpile
500231,0,You feel cured of poison!
500232,0,That potion was not strong enough to cure your ailment!
500233,0,You are already poisoned.
500234,0,"This would have poisoned you, if you were not new to the land of Britannia.  Be careful in the future."
500235,0,You must wait a few seconds before using another healing potion.
500236,0,You should throw it now!
500237,0,Target cannot be seen.
500238,0,Select an ingredient to mix with or a fire to cook on.
500239,0,default
500240,0,What should I cook this on?
500241,0,name incorrect
500242,0,What should I cook this on?
500243,0,You cook the pie.
500244,0,What should I cook this on?
500245,0,Time to start opening.
500246,0,Still opening.
500247,0,Curtain is open now.
500248,0,Time to start opening.
500249,0,Still opening.
500250,0,Curtain is open now.
500251,0,That location is too far away.
500252,0,A ship cannot be created here.
500253,0,max = 
500254,0,rate = 
500255,0,level = 
500256,0,satisfaction = 
500257,0,What should I cook this on?
500258,0,What should I cook this on?
500259,0,"Enter the area of operation for the terrain scan, in (x, y) (x, y) format:"
500260,0,Setting of operations area cancelled.
500261,0,Format for operations area incorrect.
500262,0,Terrain scan complete.
500263,0,*Splashing acid blood scars your weapon!*
500264,0,"Honestly, I'm not a key."
500265,0,"Honestly, I'm not a key."
500266,0,What would you like to add?
500267,0,No type defined! ERROR.
500268,0,This object needs to be mounted on something.
500269,0,You cannot build that there.
500270,0,You cannot build that there.
500271,0,You cannot build near the door.
500272,0,You cannot build near the stairs.
500273,0,This add-on deed is blank.
500274,0,You can only place this in a house that you own!
500275,0,You can only build this in a house.
500276,0,You can only place this in a house that you own!
500277,0,Construction aborted. Please try again.
500278,0,"As a young player, you may not cast beneficial spells onto older players."
500279,0,You pour the potion into a bottle...
500280,0,...and place it into your backpack.
500281,0,...but there is no room in your backpack.
500282,0,You create the potion and pour it into the keg.
500283,0,That container is too full to hold your potion.
500284,0,You are wise enough not to add a different type of potion to that keg.
500285,0,"You are unsure what is in the keg, and decide not to add your mixture to it."
500286,0,You were unable to complete your work before you died.
500287,0,You fail to create a useful potion.
500288,0,Dead people can't make potions.
500289,0,Where is a bottle or keg for your potion?
500290,0,You stop mixing and empty the mortar.
500291,0,Someone else is using that.
500292,0,What reagent would you like to make the potion out of?
500293,0,You were unable to complete your work before you died.
500294,0,You cannot use that.
500295,0,You are too far away to do that.
500296,0,That's not something you can grind with a mortar and pestle!
500297,0,That is not a potion ingredient.
500298,0,You are not skilled enough to make anything out of that.
500299,0,That is not an appropriate container for a potion.
500300,0,They don't match.
500301,0,It's not there.
500302,0,Unable to find script list on keg.
500303,0,One potion is missing the 'power' objVar.
500304,0,They don't match.
500305,0,One potion is missing the 'modifier' objVar.
500306,0,They don't match.
500307,0,The mixture explodes!
500308,0,You smell a strange odor!
500309,0,Nothing Happens.
500310,0,You are too busy with something else.
500311,0,Select a heating stand to heat this or a reagent to add to the mix.
500312,0,You cannot reach that.
500313,0,The flask is empty.
500314,0,That stand belongs to someone else.
500315,0,You need an empty bottle to make a potion.
500316,0,You create a mysterious potion
500317,0,Nothing Happens
500318,0,This flask is empty.
500319,0,You have been granted amnesty for your crimes.  --Lord British.
500320,0,Let no good deed go unpunished!  --Lord Blackthorn
500321,0,Whom shall I examine?
500322,0,"This person looks fine to me, though he may have some news..."
500323,0,Only living things have anatomies!
500324,0,You know yourself quite well enough already.
500325,0,I am too far away to do that.
500326,0,That cannot be inspected.
500327,0,Weariness prevents you from discerning anything useful.
500328,0,What animal should I look at?
500329,0,That's not an animal!
500330,0,That's not an animal!
500331,0,The spirits of the dead are not the province of animal lore.
500332,0,I am too far away to do that.
500333,0,You are to weary to discern anything useful.
500334,0,You can't think of anything you know offhand.
500335,0,Choose a location to create your anvil.
500336,0,You will not be able to put it in your backpack afterwards.
500337,0,Targetobj called
500338,0,Can't create an anvil there.
500339,0,Can't create an anvil there.
500340,0,Targetloc called
500341,0,Can't create an anvil there.
500342,0,Can't create an anvil there.
500343,0,What do you wish to appraise and identify?
500344,0,You can't see that object well enough to identify it.
500345,0,You can't concentrate enough to come up with a good estimate.
500346,0,Target cannot be seen.
500347,0,Target cannot be seen.
500348,0,I am too far away to do that.
500349,0,What item do you wish to get information about?
500350,0,You are too far away to tell much about it.
500351,0,You can't see it well enough to tell much about it.
500352,0,This is neither weapon nor armor.
500353,0,You are not certain...
500354,0,Which door do you want to add to my keylist?
500355,0,okay
500356,0,Added door to my keylist.
500357,0,"If this lever ever did anything, it doesn't do it anymore."
500358,0,"The lever feels loose, and you realize it no longer controls anything."
500359,0,"You flip the lever and think you hear something, but realize it was just your imagination."
500360,0,"The lever flips without effort, doing nothing."
500361,0,"You flip the lever, and now its even more broken than before!"
500362,0,What message do you wish to send to the player?
500363,0,Text entry timed out
500364,0,"You can't use that, it belongs to someone else."
500365,0,That is being used by someone else
500366,0,Select a loom to use that on.
500367,0,Try using that on a loom.
500368,0,You create some cloth and put it in your backpack.
500369,0,"I'm a ballot box, not a container!"
500370,0,"Enter a line of text for your ballot, and hit ENTER. Hit ESC after the last line is entered."
500371,0,Votes zeroed out.
500372,0,You have already voted on this ballot.
500373,0,Your vote has been registered.
500374,0,You have already voted on this ballot.
500375,0,Your vote has been registered.
500376,0,Ballot entry complete.
500377,0,Next line or ESC to finish:
500378,0,Thou art a criminal and cannot access thy bank box.
500379,0,Thou must tell me how much thou wishest to withdraw.
500380,0,"Ah, art thou trying to fool me? Thou hast not so much gold!"
500381,0,Thou canst not withdraw so much at one time!
500382,0,Thou dost not have sufficient funds in thy account to withdraw that much.
500383,0,Thou must request a minimum of 5000 gold to draw up a check.
500384,0,"Ah, art thou trying to fool me? Thou hast not so much gold!"
500385,0,Thou dost not have sufficient funds in thy account to withdraw that much.
500386,0,There's not enough room in your bankbox for the check!
500387,0,This is not gold!
500388,0,I only accept gold coins.
500389,0,I will not do business with a criminal!
500390,0,Your bank box is full.
500391,0,"A bank account can only hold 65,000 gold at the moment."
500392,0,Spare some gold friend?
500393,0,Just a few coins.
500394,0,Surely thou can spare something.
500395,0,I haven't eaten in days.
500396,0,I have children to feed.
500397,0,To whom do you wish to grovel?
500398,0,Perhaps just asking would work better.
500399,0,There is little chance of getting money from that!
500400,0,There is little chance of getting money from that!
500401,0,You are too far away to beg from him.
500402,0,You are too far away to beg from her.
500403,0,That's too far away.  You couldn't beg from it anyway.
500404,0,They seem unwilling to give you any money.
500405,0,I feel sorry for thee...
500406,0,Thou dost not look trustworthy... no gold for thee today!
500407,0,I have not enough money to give thee any!
500408,0,victim
500409,0,beggar
500410,0,Thou dost not look trustworthy... no gold for thee today!
500411,0,I have not enough money to give thee any!
500412,0,I have not enough money to give thee any!
500413,0,I have not enough money to give thee any!
500414,0,reached end of begging pathfind
500415,0,Let me see...
500416,0,"I dare not approach thee too closely, lest others think me an easy mark..."
500417,0,A sense of great foreboding overtakes you.
500418,0,"This item is of imported material, probably bought at a store, and does not yield much metal."
500419,0,Some metal seems to have lost its color due to the heat.
500420,0,You are not near a forge.
500421,0,You cannot use that.
500422,0,You can't work on that item.
500423,0,That is already in full repair.
500424,0,You destroyed the item.
500425,0,You repair the item.
500426,0,You can't repair that.
500427,0,You cannot smith that item!
500428,0,This strange metal is beyond your capability--you have no idea how to work it!
500429,0,You cannot melt something that is being worn or held.
500430,0,You feel compelled to not destroy this shield.
500431,0,You may only melt items which are in your backpack.
500432,0,You may only melt items which are in your backpack.
500433,0,This item cannot be melted.
500434,0,That is being used by someone else.
500435,0,Select your choice from the menu above.
500436,0,Select item to repair.
500437,0,Select the item you wish to melt.
500438,0,Target the metal you would like to use.
500439,0,There is not enough metal there to make that item.
500440,0,You cannot place the item into your backpack! Construction stopped.
500441,0,You lost some metal.
500442,0,You create the item and put it in your backpack.
500443,0,"In the process of hammering out the blade, you lose the distinctive color of the source metal."
500444,0,"Due to your exceptional skill, it's quality is higher than average."
500445,0,You were barely able to make this item.  Its quality is below average.
500446,0,That is too far away.
500447,0,That is not accessible.
500448,0,That is not accessible.
500449,0,This sheep is not yet ready to be shorn.
500450,0,You can only skin dead creatures.
500451,0,You would not be able to place the gathered wool in your backpack!
500452,0,You place the gathered wool into your backpack.
500453,0,The sheep nimbly escapes your attempts to shear his wool.
500454,0,That wood belongs to someone else.
500455,0,There isn't enough wood here
500456,0,"You can't prepare that fish, it belongs to someone else."
500457,0,You can't place any fish into your backpack!
500458,0,You cut the fish into steaks and put them in your backpack.
500459,0,"Since you are a (co)owner of the house, you can destroy the movable furniture within."
500460,0,You can only chop your own strongbox
500461,0,You destroy the item.
500462,0,You can't destroy that while it is here.
500463,0,You will need an axe of some sort to destroy this.
500464,0,Use this on corpses to carve away meat and hide.
500465,0,You don't have anywhere to carry the meat. You leave the meat on the corpse.
500466,0,You carve away some meat.
500467,0,"You carve some meat, which remains on the corpse."
500468,0,There's no usable meat on the corpse.
500469,0,You don't have anywhere to carry the hides.  You leave them on the corpse.
500470,0,You skin the corpse and get the hide.
500471,0,"You skin it, and the hides are now in the corpse."
500472,0,The hide does not seem useful.
500473,0,You don't have anywhere to carry the furs.  You leave them on the corpse.
500474,0,You skin the corpse and get the fur.
500475,0,You skin the corpse and get the fur. It is now in the corpse.
500476,0,The fur does not seem useful.
500477,0,You don't have anywhere to carry the feathers.  You leave them on the corpse.
500478,0,You pluck the bird and get the feathers.
500479,0,You pluck the bird. The feathers are now on the corpse.
500480,0,You don't see any usable feathers.
500481,0,You don't have anywhere to carry the wool.  You leave the wool on the corpse.
500482,0,You shear the corpse and get the wool.
500483,0,"You shear it, and the wool is now on the corpse."
500484,0,Shearing the corpse seems to be a waste of time.
500485,0,You see nothing useful to carve from the corpse.
500486,0,That is too far away.
500487,0,The axe must be equipped for any serious wood chopping.
500488,0,There's not enough wood here to harvest.
500489,0,You can't use an axe on that.
500490,0,You can't place any kindling into your backpack!
500491,0,You put some kindling into your backpack.
500492,0,An axe would probably get you more wood.
500493,0,There's not enough wood here to harvest.
500494,0,You can't use a bladed item on that.
500495,0,"You hack at the tree for a while, but fail to produce any useable wood."
500496,0,"You hack at the tree for a while, but fail to produce any useable wood."
500497,0,You can't place any wood into your backpack!
500498,0,You put some logs into your backpack.
500499,0,You broke your axe.
500500,0,You do not have enough room for the item in your backpack! You stop making the item.
500501,0,"Due to your exceptional skill, its quality is higher than average."
500502,0,You were barely able to make this item. Its quality is below average.
500503,0,Continue chopping for a while and then return to the person who gave you this task.
500504,0,Target cannot be seen.
500505,0,"As a young player, you may not cast beneficial spells onto older players."
500506,0,Which item do you wish to bless?
500507,0,You can only bless an item!
500508,0,You may only bless objects that you are carrying.
500509,0,You can't bless this object!
500510,0,You can't bless this object.
500511,0,That object is already blessed.
500512,0,You may not take items from the corpses of the more established players.
500513,0,"Some young warrior felled this, and you cannot bring yourself to take any items from the corpse."
500514,0,"You cannot loot that corpse, as you are not the one that felled it and are not yet confident its slayer has taken everything off it they desire."
500515,0,human remains
500516,0,Adding victim to the bounty list.
500517,0,Opening reporting menu.
500518,0,You have cancelled the bounty reporting process.
500519,0,An error has occurred and your murder cannot be reported.
500520,0,You have cancelled the bounty reporting process.
500521,0,You have cancelled the bounty reporting process.
500522,0,Killer's killcount lower than victim's
500523,0,You cannot report this death because the person who killed you has slain less people than you have.
500524,0,Victim's notoriety too low to report.
500525,0,You cannot report this death to Lord British's guards because your notoriety is too low.
500526,0,Victim flagged criminal
500527,0,You cannot report this death to Lord British's guards because you are flagged as a criminal because of your recent deeds.
500528,0,Victim doesn't have lastCriminal attached
500529,0,Victim's last criminal doesn't match killer
500530,0,Allowed to report!
500531,0,Returning killcount.
500532,0,NULL reward!
500533,0,Gold resource from bank:
500534,0,Gold resource on gold after transfer:
500535,0,Gold resource from board:
500536,0,reward!
500537,0,"A bounty hath been issued for thee, and thy worldly goods are hereby confiscated!"
500538,0,Error attaching bounty script.
500539,0,'Tis a decapitated head. How disgusting.
500540,0,'Tis a decapitated head. How disgusting.
500541,0,"There is indeed a price on this head, but not here. Travel on, my friend, to a precinct of the guards that will pay thee."
500542,0,We only accept bounty hunting from honorable folk! Away with thee!
500543,0,"I had heard that this scum was taken care of. But thou didst not do the deed, and thus shall not get the reward!"
500544,0,No kills are tallied on this person.
500545,0,There is a bounty outstanding as well.
500546,0,I am now bounty hunted!
500547,0,Reducing bounty count.
500548,0,Penalizing stats.
500549,0,Killer must be above neutral to collect bounty.
500550,0,You have a higher killcount than the victim and cannot claim the bounty.
500551,0,"As you kill them, you realize there is a bounty on their head! You take the head as evidence of your victory."
500552,0,Select player to bounty:
500553,0,Checking burners.
500554,0,Not fired up.
500555,0,Already fired up.
500556,0,Fueled up.
500557,0,No fuel.
500558,0,Target at close range.
500559,0,Target at long range.
500560,0,Preparing to breathe.
500561,0,Darn! Missed you!
500562,0,Eat fiery death!
500563,0,Causing damage.
500564,0,Finished causing damage.
500565,0,Gotcha!
500566,0,Causing damage.
500567,0,Finished causing damage.
500568,0,teleport unsuccessful
500569,0,Terrain scan complete.
500570,0,Enter the amount by which to move terrain up.
500571,0,Enter the amount by which to move terrain lower.
500572,0,Enter the low end of the elevation filter:
500573,0,Enter the high end of the elevation filter:
500574,0,Setting of terrain type cancelled.
500575,0,"Enter the area of operation for the terrain scan, in (x, y) (x, y) format:"
500576,0,Setting of operations area cancelled.
500577,0,Format for operations area incorrect.
500578,0,Setting of transition type cancelled.
500579,0,Setting of embankment type cancelled.
500580,0,Terrain fill cancelled.
500581,0,"Enter the target elevation, then a +/- fudge factor for randomization, in the format (a, b):"
500582,0,Elevation changes cancelled.
500583,0,Format for elevations change incorrect.
500584,0,Terrain fill cancelled.
500585,0,Terrain fill cancelled.
500586,0,You do not have enough skill or resources to build anything!
500587,0,Double click on the archery butte to practice your archery skill.
500588,0,Fire on the target and then return to the person who gave you this task.
500589,0,Follow the arrow to complete your task.
500590,0,"You're a ghost, and can't do that."
500591,0,Wait until it's clear!
500592,0,You gather the arrows and bolts.
500593,0,You must practice with ranged weapons on this.
500594,0,You do not have any arrows with which to practice.
500595,0,You do not have any crossbow bolts with which to practice.
500596,0,You would do better to stand in front of the target.
500597,0,You aren't properly lined up with the target to get an accurate shot.
500598,0,You are too far away from the target to get an accurate shot.
500599,0,You are too close to the target.
500600,0,You would do better to stand in front of the target.
500601,0,You aren't properly lined up with the target to get an accurate shot.
500602,0,You are too far away from the target to get an accurate shot.
500603,0,You are too close to the target.
500604,0,~1_name~ misses the target altogether.
500605,0,"If you have a deed, I can appraise it or buy it from you..."
500606,0,Simply hand me a deed to sell it.
500607,0,I'm not interested in that.
500608,0,Which deed would you like appraised?
500609,0,I can't appraise things I know nothing about...
500610,0,Simply hand me the deed if you wish to sell it.
500611,0,The instrument becomes forever quiet.
500612,0,"You play poorly, and there is no effect."
500613,0,"You attempt to calm everyone, but fail."
500614,0,"You hear music, and for a moment are distracted."
500615,0,"You play your hypnotic music, stopping the battle."
500616,0,"You hear lovely music, and forget to continue battling!"
500617,0,What instrument shall you play?
500618,0,That is too far away!
500619,0,That is not a musical instrument.
500620,0,You feel it would take a few moments to secure your camp.
500621,0,The camp is now secure.
500622,0,This item must be stolen to get it.
500623,0,This item must be stolen to use it.
500624,0,You do not have enough staves to construct the keg.
500625,0,You do not have enough hoops to construct the keg.
500626,0,You do not have a bottom for the keg.
500627,0,You fail to create the keg.
500628,0,Some of your staves are no longer fit for use.
500629,0,"You fail the project horribly, losing most of your materials in the process."
500630,0,You create the keg and put it in your backpack.
500631,0,You create the keg and put it at your feet.
500632,0,You are too busy with something else.
500633,0,What would you like to make?
500634,0,The amount of wood changed since you started working with it.
500635,0,"Due to your exceptional skill, it's quality is higher than average."
500636,0,Your tinker skill was sufficient to make the item lockable.
500637,0,Your tinker skill was insufficient to make the item lockable.
500638,0,You create the item and put it in your backpack.
500639,0,You create the item and put it in your backpack.
500640,0,You create the item and put it at your feet.
500641,0,"Your concentration is disturbed, thus ruining thy spell."
500642,0,Target cannot be seen.
500643,0,Target is too far away.
500644,0,"To get your shield, ask any of Lord Blackthorn's Guards."
500645,0,You can no longer wear some of your equipment.
500646,0,It will be placed in your pack in a few mins.
500647,0,Some equipment has been moved to your backpack.
500648,0,This chest seems to be locked.
500649,0,CLICK
500650,0,RECLICK
500651,0,"You're evil, and must die!"
500652,0,"You're a murderer, and must die!"
500653,0,Thou hast escaped me!
500654,0,Er... thanks.
500655,0,I really hope that wasn't intended as a bribe.
500656,0,I'll just be keeping this.
500657,0,How disgusting!  I'll dispose of this.
500658,0,Er... thanks.
500659,0,Er... thanks.
500660,0,"If this were the head of a murderer, I would check for a bounty."
500661,0,I shall place this on my mantle!
500662,0,This tasteth like chicken.
500663,0,This tasteth just like the juicy peach I just ate.
500664,0,Ahh!  That was the one piece I was missing!
500665,0,"Somehow, it reminds me of mother."
500666,0,It's a sign!  I can see Elvis in this!
500667,0,"Thanks, I was missing mine."
500668,0,I'll put this in the lost-and-found box.
500669,0,My family will eat well tonight!
500670,0,"Ah, a head!  Let me check to see if there is a bounty on this."
500671,0,Claim house
500672,0,You turn the crystal off.
500673,0,You turn the crystal on.
500674,0,This crystal is already linked with that crystal.
500675,0,That crystal has been linked to this crystal.
500676,0,This crystal is out of charges.
500677,0,This crystal cannot be recharged.
500678,0,This crystal is already fully charged.
500679,0,You completely recharge the crystal.
500680,0,You recharge the crystal.
500681,0,You cannot use this crystal on that.
500682,0,"I am sorry, but thou art far to skilled for me to train."
500683,0,"I am sorry, but thou lacks the gold for training."
500684,0,You do not have room for the cooked food in your backpack!  You stop cooking.
500685,0,"You can't use that, it belongs to someone else."
500686,0,You burn the food to a crisp! It's ruined.
500687,0,Looks delicious.
500688,0,"Mmmm, smells good."
500689,0,You put the cooked food into your backpack.
500690,0,You can't cook on that.
500691,0,You may not take items from the corpses of the more established players.
500692,0,"Some young warrior felled this, and you cannot bring yourself to take any items from the corpse."
500693,0,"You cannot loot that corpse, as you are not the one that felled it and are not yet confident its slayer has taken everything off it they desire."
500694,0,Checking for items
500695,0,Creating bag
500696,0,Checking for items
500697,0,Creating bag
500698,0,Must have a target value!
500699,0,Script is Done!!
500700,0,disarmed
500701,0,reloaded
500702,0,got message
500703,0,switch one up
500704,0,switch one down
500705,0,switch two up
500706,0,switch two down
500707,0,switch three up
500708,0,switch three down
500709,0,switch four up
500710,0,switch four down
500711,0,switch five up
500712,0,switch five down
500713,0,disarmed
500714,0,disarmed
500715,0,You notice something odd about the frame of the painting.
500716,0,A small plaque on the bottom of the frame reads: 3-4-1-5.
500717,0,A small piece of paper seems to be wedged beneath the throne.
500718,0,"You seem not to be able to free the note, but upon it you see the writing: 3-4-1-5."
500719,0,else what?
500720,0,You don't have enough room in your backpack!
500721,0,Target cannot be seen.
500722,0,You don't have enough room in your backpack!
500723,0,"As a young player, you may not cast beneficial spells onto older players."
500724,0,"As a young player, you may not cast beneficial spells onto older players."
500725,0,Now begone with yer ugly face
500726,0,Ahh!  A ghost is touching me!
500727,0,Ye must join a faction before I can serve ye.
500728,0,Argh!  Cursed enemy making me fetch ye things!
500729,0,Ahhh!  Enemy Faction!!  Save me!
500730,0,You must join a Team in order to capture this flag.
500731,0,Ghosts cannot capture a flag.
500732,0,This flag cannot be captured right now.
500733,0,You cannot capture your own flag!
500734,0,You are not close enough to capture.
500735,0,Don't play with things you don't know about.
500736,0,You have resigned from your faction.  You will not be able to join another faction for a while.
500737,0,Canceled resignation.
500738,0,"Due to your propensity to kill your own teammates, you have been expelled from your faction.  You will not be able to join another faction for a while."
500739,0,You just killed your own teammate!
500740,0,You will be expelled from your faction if you kill one more teammate.
500741,0,You scored a kill for your Faction!
500742,0,You will be expelled from your faction if you kill one more of your teammates.
